model,model_id,model_slug,provider,reasoning_mode,task_id,sample_idx,status,finish_reason,family,source_collection,task_form,core_function,benchmark_split,input_tokens,output_tokens,reasoning_tokens,total_tokens,api_elapsed_s,task_elapsed_s,api_call_count,generated_at,meta_path
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_file_metric_writer_bugfix,0,source_selected,,bugfix,balanced_supplement_v1,bugfix,source/measurement/TB,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:06.658379+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_file_metric_writer_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_file_metric_writer_dut,0,source_selected,,spec-to-va,balanced_supplement_v1,spec-to-va,source/measurement/TB,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:06.664524+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_file_metric_writer_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_file_metric_writer_e2e,0,source_selected,,end-to-end,balanced_supplement_v1,end-to-end,source/measurement/TB,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:06.672595+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_file_metric_writer_e2e/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_file_metric_writer_tb,0,source_selected,,tb-generation,balanced_supplement_v1,tb-generation,source/measurement/TB,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:06.679735+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_file_metric_writer_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_first_order_lowpass_bugfix,0,generated,stop,bugfix,balanced_supplement_v1,bugfix,continuous dynamics,benchmark-vabench-main-v1,2867,208,0,3075,4.419,4.425,1,2026-05-09T03:42:11.430019+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_first_order_lowpass_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_first_order_lowpass_dut,0,generated,stop,spec-to-va,balanced_supplement_v1,spec-to-va,continuous dynamics,benchmark-vabench-main-v1,6113,959,0,7072,15.328,15.334,2,2026-05-09T03:42:22.353358+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_first_order_lowpass_dut/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,mimo,mimo_thinking:disabled,vbm1_first_order_lowpass_e2e,0,generated,stop,end-to-end,balanced_supplement_v1,end-to-end,continuous dynamics,benchmark-vabench-main-v1,6667,826,0,7493,14.204,14.212,2,2026-05-09T03:42:23.676362+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_first_order_lowpass_e2e/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_first_order_lowpass_tb,0,source_selected,,tb-generation,balanced_supplement_v1,tb-generation,continuous dynamics,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:10.395245+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_first_order_lowpass_tb/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_gain_trim_controller_bugfix,0,source_selected,,bugfix,balanced_supplement_v1,bugfix,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:10.398349+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_gain_trim_controller_bugfix/sample_0/generation_meta.json
mimo-v2.5-pro,mimo-v2.5-pro,mimo-v2.5-pro,,,vbm1_gain_trim_controller_dut,0,source_selected,,spec-to-va,balanced_supplement_v1,spec-to-va,calibration/control,benchmark-vabench-main-v1,0,0,0,0,0.0,0.0,0,2026-05-09T03:42:10.402444+00:00,/Users/bucketsran/Documents/TsingProject/vaEvas/behavioral-veriloga-eval/generated-main120-C-compile-loop-mimo-v2.5-pro-20260509/mimo-v2.5-pro/vbm1_gain_trim_controller_dut/sample_0/generation_meta.json
